저자,책제목,출판사,제작수량,페이지
"이호준, 김진석","세상의 끝, 오로라",예담,1 ,352 
신준모,어떤 하루,프롬북스,1 ,268 
베르나르베르베르,죽음 1,열린책들,1 ,328 
베르나르베르베르,죽음 2,열린책들,1 ,328 
정유정,"진이, 지니",은행나무,1 ,388 
이기주,글의 품격,황소북스,1 ,252 
이기주,말의 품격,황소북스,1 ,232 
김애란,잊기 좋은 이름,열림원,1 ,304 
유성호,나는 매주 시체를 보러 간다,21세기북스,1 ,280 
박상규,청춘에게 전하는 여섯가지 공감이야기,북랩,1 ,234 
로버트 치알디니,초전 설득 ,21세기북스,1 ,508 
킴벌리 브루베이커 브래들리,맨발의 소녀,라임,1 ,288 
"박종호, 주예지",국어 교과서 작품 읽기 중2 수필 (전면개정판),창비,1 ,172 
린더 카니,팀 쿡,다산북스,1 ,480 
야쿠마루 가쿠,신의 아이 1,몽실북스,1 ,516 
야쿠마루 가쿠,신의 아이 2,몽실북스,1 ,496 
권정임,대한민국에서 직장인이 꼭 알아야 할 노동법 100,생각비행,1 ,512 
메리 올리버,완벽한 날들,마음산책,1 ,168 
주영하,시간의 계단 1,블라썸,1 ,252 
주영하,시간의 계단 2,블라썸,1 ,280 
메그 월리처,더 와이프,뮤진트리,1 ,396 
김인숙,먹고 마시고 자라,고지넉이엔티,1 ,336 
위근우,다른 게 아니라 틀린 겁니다,시대의창,1 ,288 
커크 월리스 존슨,깃털 도둑,흐름출판,1 ,428 
변영주,영화로 더 나은 세상을 꿈꾸다,창비,1 ,136 
김병완,공부에 미친 사람들,다산북스,1 ,260 
"박종오, 오세호",국어 교과서 작품 읽기 고등 소설 - 상 (전면개정판),창비,1 ,332 
파시 살베르그,핀란드의 끝없는 도전,푸른숲,1 ,352 
"김아란, 박성우",국어 교과서 작품 읽기 중2 시 (전면개정판),창비,1 ,132 
"왕지윤, 이종호",국어 교과서 작품 읽기 고등 수필 (전면개정판),창비,1 ,256 
안광복,나는 이 질문이 불편하다,어크로스,1 ,256 
"서덕희, 최은영",국어 교과서 작품 읽기 중2 소설 (전면개정판),창비,1 ,192 
권재원,길고 짧은 건 대 봐야 아는 법,서유재,1 ,312 
"서덕희, 임요한",국어 교과서 작품 읽기 고등 소설 - 하 (전면개정판),창비,1 ,312 
딜런 에번스,유토피아 실험,쌤앤파커스,1 ,316 
리베카 솔닛,멀고도 가까운,반비,1 ,384 
남인숙,"사실, 내성적인 사람입니다",21세기북스,1 ,212 
김미영 외,국어 교과서 작품 읽기 중1 소설 (전면개정판),창비,1 ,232 
박종호 외,국어 교과서 작품 읽기 중1 수필 (전면개정판),창비,1 ,184 
씨에지에양,"화학, 알아두면 사는 데 도움이 됩니다",지식너머,1 ,308 
심보선,그쪽의 풍경은 환한가,문학동네,1 ,328 
정창권,근대 장애인사,사우,1 ,368 
김아란 외,국어 교과서 작품 읽기 중1 시 (전면개정판),창비,1 ,152 
프란시스코 칸투,선은 장벽이 되고,서울문화사,1 ,328 
송주현,초등학교 학부모 상담기록부,은행나무,1 ,360 
정혜신,죽음이라는 이별 앞에서,창비,1 ,144 
"오연경, 이종은",국어 교과서 작품 읽기 고등 시 (전면개정판),창비,1 ,216 
최재붕,포노 사피엔스,쌤앤파커스,1 ,336 
로베르트 베츠,또 제탓인가요?,동양북스,1 ,280 
둥핑,칼과 책,글항아리,1 ,332 
권순우,청각장애학생교육,창지사,1 ,307 
정두성,키워드 카테키즘,세움북스,1 ,376 
박상훈,민주주의의 시간,후마니타스,1 ,312 
"정세호, 이지연",북촌 유엔하우스,멜론,1 ,316 
최태성,역사의 쓸모,다산초당,1 ,296 
김영하,여행의 이유,문학동네,1 ,216 
그로잉맘 이다랑,아이 마음에 상처 주지 않는 습관,길벗,1 ,320 
백상경제연구원,퇴근길 인문학 수업: 관계,한빛비즈,1 ,472 
톰 말름퀴스트,우리가 살아 있는 모든 순간,다산책방,1 ,384 
토드 로즈,평균의 종말,21세기북스,1 ,324 
문요한,관계를 읽는 시간,더퀘스트,1 ,320 
최명기,당신은 이기적인게 아니라 독립적인 겁니다,알에이치코리아,1 ,268 
임세원,죽고싶은 사람은 없다,알키,1 ,252 
원탁시회,원탁시 2019년 제64호,시와사람,1 ,221 
김황흠,숫눈,문학들,1 ,112 
김상훈,통세계사 퀴즈책,다산에듀,1 ,63 
김황흠,풍경과 시가 흐르는 드들강 편지,문학들,1 ,152 
김세원 등,페어 소사이어티,한국경제신문사,1 ,337 
F. 스콧 피츠제럴드,위대한 개츠비,민음사,1 ,284 
기욤뮈소,지금 이순간,밝은세상,1 ,344 
채사장,우리는 언젠가 만난다,웨일북,1 ,256 
윤석금,사람의 힘,리더스북,1 ,333 
김혜남,당신과 나 사이,메이븐,1 ,316 
윤해서,코러스크로노스,문학과지성사,1 ,486 
문영택,탐라로 떠나는 역사문화 기행,각,1 ,475 
홍양순,가족을 묻다,실천문학사,1 ,316 
권정현,골목에 관한 어떤 오마주,실천문학사,1 ,284 
전상국,춘천사는 이야기,연인M&B,1 ,254 
김윤미,김윤미 희곡집5,평민사,1 ,199 
김대중,김대중 대화록 1992-2002,행동하는양심,1 ,671 
유홍준,나의 문화유산답사기 10,창비,1 ,488 
글배우,타인의 시선을 의식해 힘든 나에게,21세기북스,1 ,184 
켄 폴릿,"끝없는세상 1, 2, 3",문학동네,3 ,1732 
정명섭,살아서 가야 한다,교유서가,1 ,292 
김초엽,우리가 빛의 속도로 갈수 없다면,허블,1 ,330 
이주은,개와 고양이에 관한 작은 세계사,파피에,1 ,268 
한인자,비밀궁전의 비밀,북인,1 ,272 
"임형남, 노은주",골목 인문학,인물과사상사,1 ,372 
최우성,동화경제사,인물과사상사,1 ,285 
이상우,해동육룡이 나르샤,로크미디어,1 ,352 
온다 리쿠,몽위,노블마인,1 ,556 
박범신,소소한 풍경,자음과모음,1 ,296 
서미애,당신의 별이 사라지던 밤,엘릭시르,1 ,388 
무라야마 사키,오후도 서점 이야기,클,1 ,356 
김영탁,곰탕 1,arte,1 ,324 
김영탁,곰탕 2,arte,1 ,368 
조윤제,다산의 마지막 공부,청림출판,1 ,304 
"채만식, 이태준",이상한 선생님,사계절,1 ,222 
탁경은,싸이퍼,사계절,1 ,216 
윤정은,하고 싶은 대로 살아도 괜찮아,애플북스,1 ,204 
글배우,오늘처럼 내가 싫었던 날은 없다,21세기북스,1 ,296 
백세희,죽고 싶지만 떡볶이는 먹고 싶어,흔,1 ,208 
동현,파도편지,하움출판사,1 ,120 
이현호,라이터 좀 빌립시다,문학동네,1 ,136 
유각희,따끈한 아이스케키,시와실천,1 ,118 
최영미,다시 오지 않는 것들,이미,1 ,112 
김상철,낮달에 길을 묻다,맑은샘,1 ,112 
김혜주,내게 말을 걸었다,시와실천,1 ,134 
조성준,그리고 나는 걸었다,행복한책읽기,1 ,135 
스티븐 레빗,괴짜경제학,웅진지식하우스, 1 , 414 
,,,,
,,,,
